date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1919-12-07,Uruguay,Argentina,4.0,2.0,Friendly,False,1919,1977.0,1927.0,50.0,home_win
1920-02-29,Switzerland,France,0.0,2.0,Friendly,False,1920,1560.0,1621.0,-61.0,away_win
1920-03-28,France,Belgium,2.0,1.0,Friendly,False,1920,1621.0,1928.0,-307.0,home_win
1920-04-10,England,Scotland,5.0,4.0,British Home Championship,False,1920,1954.0,1872.0,82.0,home_win
1920-05-16,Switzerland,Netherlands,2.0,1.0,Friendly,False,1920,1560.0,1846.0,-286.0,home_win
1920-06-06,Sweden,Switzerland,0.0,1.0,Friendly,False,1920,1649.0,1560.0,89.0,away_win
1920-06-27,Norway,Sweden,0.0,3.0,Friendly,False,1920,1535.0,1649.0,-114.0,away_win
1920-06-27,Switzerland,Germany,4.0,1.0,Friendly,False,1920,1560.0,1653.0,-93.0,home_win
1920-07-18,Uruguay,Argentina,2.0,0.0,Copa Premio Honor Uruguayo,False,1920,2034.0,1933.0,101.0,home_win
1920-07-25,Argentina,Uruguay,1.0,3.0,Copa Newton,False,1920,1933.0,2034.0,-101.0,away_win
1920-08-08,Argentina,Uruguay,1.0,0.0,Copa Premio Honor Argentino,False,1920,1933.0,2034.0,-101.0,home_win
1920-08-29,Netherlands,Sweden,5.0,4.0,Olympic Games,True,1920,1846.0,1649.0,197.0,home_win
1920-08-29,Belgium,Spain,3.0,1.0,Olympic Games,False,1920,1928.0,2016.0,-88.0,home_win
1920-08-31,Belgium,Netherlands,3.0,0.0,Olympic Games,False,1920,1928.0,1846.0,82.0,home_win
1920-09-01,Spain,Sweden,2.0,1.0,Olympic Games,True,1920,2016.0,1649.0,367.0,home_win
1920-09-05,Spain,Netherlands,3.0,1.0,Olympic Games,True,1920,2016.0,1846.0,170.0,home_win
1920-09-12,Uruguay,Argentina,1.0,1.0,Copa América,True,1920,2034.0,1933.0,101.0,draw
1920-09-18,Brazil,Uruguay,0.0,6.0,Copa América,True,1920,1822.0,2034.0,-212.0,away_win
